category,star,degree,branch,code,aux_num,verse,mansion28,seven_governors
虛,陰,15,酉,虛陰15酉,2.0,寒梅耐雪花更妍，芬芳結實子更堅。母年四十六生你，寶珠一顆在晚年。,,
虛,紫,3,寅,虛紫3寅,10.0,五刻生人文業深，父子遊泮入黌門。青灯黃卷堅苦志，望扳月桂被雲遮。,,
虛,紫,5,寅,虛紫5寅,5.0,紫星纏虛柱中求，母年庚相是屬猴。五度遇寅父屬虎，青山悠悠水東流。,,
虛,紫,6,寅,虛紫6寅,3.0,中夏炎天暑正逢，月望圓時正光明。生辰五月十五日，榴開半子花半紅。,,
虛,紫,7,午,虛紫7午,6.0,五刻注定姻緣奇，鴛鴦交頸戲蓮池。夫妻庚相同屬鼠，月老注定不差移。,,
虛,紫,9,午,虛紫9午,7.0,葵花初綻子規啼，芍藥開放海棠奇。閏四月生初三日，洞房花吐子結實。,,
虛,紫,11,戌,虛紫11戌,4.0,運交甲戌事不祥，準被禍臨在身旁。損財憂驚傷人口，下五戌運保安康。,,
虛,紫,11,午,虛紫11午,1.0,紫星過午定世間，五行造化我占先。姐妹八人你居二，同父各母緊相連。,,
虛,紫,12,午,虛紫12午,1.0,母年方交四十三，聲你降世自然安。一枝丹桂花發老，晚景堂前兩雙全。,,
虛,紫,13,戌,虛紫13戌,2.0,五十七八怨恨深，兇多吉少暗消魂。一心跳出虎狼穴，兩手撥開荊棘門。,,
虛,紫,15,戌,虛紫15戌,9.0,命宮孤苦奈若何，鴛鴦失偶啼碧波。夫妻難遂齊眉案，郎君必先夢南柯。,,
虛,紫,17,午,虛紫17午,8.0,蟠桃枝上桂花香，共枕同裘雙鴛鴦。妻宮年方二十嵗，吉産一子在蘭房。,,
虛,陽,3,寅,虛陽3寅,7.0,太陽纏虛過寅宮，父命屬虎壽先終。三度行來多失陷，母鼠堂前守孤灯。,,
虛,陽,5,寅,虛陽5寅,4.0,丙日丁酉時最清，更喜天乙入命宮。蟾宮折桂身榮顯，彩旗飄飄映日紅。,,
